id;sex;example.audio;example.video;answer;order;v_a
103;f;p;p;p;3;v
103;f;k;p;k;3;v
103;f;t;k;t;3;v
104;f;p;k;p;3;v
104;f;k;t;t;3;v
104;f;t;t;t;3;v
104;f;k;k;k;3;v
104;f;p;t;p;3;v
104;f;t;p;k;3;v
104;f;p;p;p;3;v
104;f;k;p;k;3;v
104;f;t;k;t;3;v
105;f;p;k;p;3;v
105;f;k;t;k;3;v
105;f;t;t;t;3;v
105;f;k;k;k;3;v
105;f;p;t;p;3;v
105;f;t;p;k;3;v
105;f;p;p;p;3;v
105;f;k;p;k;3;v
105;f;t;k;t;3;v
106;f;p;k;p;3;v
106;f;k;t;t;3;v
106;f;t;t;t;3;v
106;f;k;k;k;3;v
106;f;p;t;t;3;v
106;f;t;p;k;3;v
106;f;p;p;p;3;v
106;f;k;p;k;3;v
106;f;t;k;k;3;v
107;m;p;k;p;3;v
107;m;k;t;k;3;v
107;m;t;t;t;3;v
107;m;k;k;k;3;v
107;m;p;t;k;3;v
107;m;t;p;k;3;v
107;m;p;p;p;3;v
107;m;k;p;k;3;v
107;m;t;k;t;3;v
108;m;p;k;p;3;v
108;m;k;t;k;3;v
108;m;t;t;t;3;v
108;m;k;k;k;3;v
108;m;p;t;p;3;v
108;m;t;p;t;3;v
108;m;p;p;p;3;v
108;m;k;p;k;3;v
108;m;t;k;t;3;v
109;m;p;k;p;3;v
109;m;k;t;k;3;v
109;m;t;t;t;3;v
109;m;k;k;k;3;v
109;m;p;t;p;3;v
109;m;t;p;-;3;v
109;m;p;p;p;3;v
109;m;k;p;k;3;v
109;m;t;k;t;3;v
110;f;p;k;p;3;v
110;f;k;t;k;3;v
110;f;t;t;t;3;v
110;f;k;k;k;3;v
110;f;p;t;p;3;v
110;f;t;p;t;3;v
110;f;p;p;p;3;v
